urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center
Burmistrz Miasta Świeradów-Zdrój;021002;1;0;44.00;0;0;0;0;0;1;021002;1;Świeradów-Zdrój;2072;21;4209;203;2229;1931;gm;50.890612,15.266937 50.943292,15.379567;50.916952,15.323252
Wójt Gminy Lubań;021004;3;1;52.33;0;0;0;0;0;3;021004;2;Lubań;14234;141;6607;46;757;1357;gw;51.065162,15.180998 51.199509,15.436373;51.1323355,15.3086855
Wójt Gminy Jeżów Sudecki;020606;2;0;46.00;0;0;1;0;0;1;020606;2;Jeżów Sudecki;9428;94;7283;77;1487;1233;gw;50.909469,15.633367 51.013184,15.836494;50.9613265,15.7349305
Wójt Gminy Janowice Wielkie;020605;2;1;44.50;0;0;0;0;0;2;020605;2;Janowice Wielkie;5783;57;4320;75;1959;1903;gw;50.834695,15.833763 50.950241,15.961978;50.892468,15.8978705
Wójt Gminy Mysłakowice;020607;4;1;52.00;0;0;0;0;0;4;020607;2;Mysłakowice;8798;88;10218;116;1564;841;gw;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941
Wójt Gminy Stara Kamienica;020609;1;0;41.00;0;0;0;0;0;1;020609;2;Stara Kamienica;11050;111;5267;48;1215;1661;gw;50.845130,15.439173 50.952907,15.665922;50.8990185,15.5525475
Burmistrz Miasta Jawora;020501;3;1;35.00;0;1;0;0;0;2;020501;1;Jawor;1880;19;23266;1238;2247;278;gm;51.035974,16.141115 51.099396,16.229067;51.067685,16.185091
Wójt Gminy Męcinka;020503;1;0;51.00;0;0;0;0;0;1;020503;2;Męcinka;14778;148;5001;34;698;1729;gw;50.990843,15.932950 51.136668,16.197186;51.0637555,16.065068
Burmistrz Bolkowa;020502;4;2;44.00;0;0;0;0;0;4;020502;3;Bolków;15260;153;10611;70;650;809;gmw;50.852741,15.929791 50.992373,16.204282;50.922557,16.0670365
Wójt Gminy Paszowice;020505;3;2;47.33;0;1;0;0;0;2;020505;2;Paszowice;10128;101;3976;39;1367;1986;gw;50.943981,16.021512 51.052305,16.240363;50.998143,16.1309375
Wójt Gminy Zagrodno;022605;3;1;44.33;0;0;0;0;0;3;022605;2;Zagrodno;12234;122;5347;44;1019;1641;gw;51.146495,15.740635 51.262257,15.958729;51.204376,15.849682
Wójt Gminy Mściwojów;020504;2;0;45.50;0;0;0;0;0;2;020504;2;Mściwojów;7194;72;4113;57;1818;1950;gw;51.002166,16.177775 51.114973,16.346593;51.0585695,16.262184
Wójt Gminy Pielgrzymka;022603;2;0;48.50;0;1;0;0;0;1;022603;2;Pielgrzymka;10485;105;4628;44;1305;1827;gw;51.036748,15.696558 51.173572,15.882484;51.10516,15.789521
Wójt Gminy Wądroże Wielkie;020506;4;2;46.25;0;1;0;0;0;3;020506;2;Wądroże Wielkie;8915;89;3980;45;1543;1985;gw;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885
Burmistrz Miasta Wojcieszów;022601;2;0;51.50;0;0;0;0;0;2;022601;1;Wojcieszów;3217;32;3696;115;2154;2057;gm;50.920320,15.874943 50.991546,15.981654;50.955933,15.9282985
Wójt Gminy Marciszów;020704;3;0;54.33;0;1;1;0;0;1;020704;2;Marciszów;8157;82;4553;56;1680;1842;gw;50.802023,15.941398 50.913460,16.122548;50.8577415,16.031973
Burmistrz Miasta Złotoryja;022602;4;2;48.50;0;1;0;0;0;3;022602;1;Złotoryja;1151;12;15783;1371;2306;483;gm;51.102694,15.886620 51.142074,15.950496;51.122384,15.918558
Wójt Gminy Kamienna Góra;020702;1;0;38.00;0;0;0;0;0;1;020702;2;Kamienna Góra;15803;158;9046;57;616;971;gw;50.669526,15.859248 50.838961,16.179514;50.7542435,16.019381
Burmistrz Miasta i Gminy Świerzawa;022604;3;1;47.33;0;0;0;0;0;3;022604;3;Świerzawa;15999;160;7606;48;594;1178;gmw;50.933151,15.721096 51.097504,16.001415;51.0153275,15.8612555
Burmistrz Miasta Kamienna Góra;020701;6;1;52.17;1;1;0;0;0;4;020701;1;Kamienna Góra;1804;18;19348;1073;2251;363;gm;50.761304,15.984855 50.808074,16.082576;50.784689,16.0337155
Wójt Gminy Złotoryja;022606;5;0;47.40;0;0;0;0;0;5;022606;2;Złotoryja;14495;145;7066;49;733;1266;gw;51.065846,15.836245 51.227210,16.063086;51.146528,15.9496655
Burmistrz Miasta Lubawka;020703;3;1;59.33;0;0;1;0;0;2;020703;3;Lubawka;13805;138;11052;80;803;769;gmw;50.598623,15.829938 50.761097,16.109568;50.67986,15.969753
Prezydent Miasta Legnicy;026201;5;0;45.40;0;1;1;1;0;2;026201;1;Legnica;5629;56;100324;1782;1980;39;mm;51.160616,16.083463 51.248847,16.233160;51.2047315,16.1583115
Prezydent Miasta Jeleniej Góry;026101;5;0;46.80;0;1;1;0;0;3;026101;1;Jelenia Góra (a);10922;109;80072;733;1240;46;mm;50.767774,15.577867 50.932555,15.877162;50.8501645,15.7275145
Prezydent Wrocławia;026401;10;4;42.40;0;1;1;0;2;6;026401;1;Wrocław (a);29282;293;638586;2181;110;4;mm;51.042775,16.807413 51.209458,17.176219;51.1261165,16.991816
Burmistrz Miasta i Gminy Pieszyce;020203;2;1;48.00;0;0;0;0;0;2;020203;3;Pieszyce;6361;64;9550;150;1917;909;gmw;50.648606,16.479584 50.758685,16.627985;50.7036455,16.5537845
Burmistrz Miasta Bielawa;020201;5;1;44.80;0;0;0;0;0;5;020201;1;Bielawa;3621;36;30207;834;2117;188;gm;50.636389,16.536642 50.714554,16.669010;50.6754715,16.602826
Burmistrz Dzierżoniowa;020202;3;0;47.67;0;1;0;0;0;2;020202;1;Dzierżoniów;2007;20;33653;1677;2236;161;gm;50.700225,16.604455 50.758132,16.690166;50.7291785,16.6473105
Wójt Gminy Dzierżoniów;020205;2;0;56.50;0;0;0;0;0;2;020205;2;Dzierżoniów;14106;141;9185;65;772;946;gw;50.624973,16.547988 50.826762,16.773273;50.7258675,16.6606305
Burmistrz Piławy Górnej;020204;3;1;48.33;0;1;0;0;0;2;020204;1;Piława Górna;2093;21;6479;310;2228;1386;gm;50.658319,16.715314 50.707434,16.794692;50.6828765,16.755003
Wójt Gminy Łagiewniki;020206;5;2;47.20;0;0;0;0;0;5;020206;2;Łagiewniki;12477;125;7458;60;983;1205;gw;50.740918,16.662063 50.844971,16.904177;50.7929445,16.78312
Burmistrz Miasta i Gminy Niemcza;020207;4;2;47.50;1;1;0;0;0;2;020207;3;Niemcza;7186;72;5545;77;1821;1591;gmw;50.660110,16.725854 50.770744,16.895113;50.715427,16.8104835
Wójt Gminy Waganiec;040108;3;0;36.33;1;1;0;0;0;1;040108;2;Waganiec;5452;55;4604;84;1991;1833;gw;52.768403,18.776385 52.839717,18.938538;52.80406,18.8574615
Burmistrz Brodnicy;040201;3;1;50.67;0;1;0;0;0;2;040201;1;Brodnica;2315;23;28717;1240;2209;196;gm;53.222122,19.356845 53.293801,19.456109;53.2579615,19.406477
Wójt Gminy Brodnica;040203;4;1;45.25;0;1;0;0;0;3;040203;2;Brodnica;12687;127;8214;65;962;1079;gw;53.162540,19.275234 53.319079,19.531491;53.2408095,19.4033625
Wójt Gminy Bobrowo;040202;3;0;47.67;1;0;0;0;0;2;040202;2;Bobrowo;14591;145;6370;44;722;1413;gw;53.197458,19.113839 53.334458,19.377643;53.265958,19.245741
Wójt Gminy Brzozie;040204;3;2;44.33;0;0;0;0;0;3;040204;2;Brzozie;9366;94;3799;41;1493;2038;gw;53.263118,19.471626 53.344606,19.729744;53.303862,19.600685
Wójt Gminy Świedziebnia;040209;2;1;56.00;1;0;0;0;0;1;040209;2;Świedziebnia;10367;104;5199;50;1328;1686;gw;53.080306,19.446170 53.180894,19.711956;53.1306,19.579063
Burmistrz Miasta i Gminy Górzno;040205;4;1;53.00;0;0;0;0;0;4;040205;3;Górzno;11968;120;3955;33;1061;1992;gmw;53.125617,19.539440 53.246601,19.761595;53.186109,19.6505175
Wójt Gminy Bartniczka;040206;2;0;58.50;0;0;0;0;0;2;040206;2;Bartniczka;8340;83;4748;57;1648;1796;gw;53.172771,19.464255 53.285326,19.693177;53.2290485,19.578716
Burmistrz Miasta i Gminy Jabłonowo Pomorskie;040207;2;0;53.00;1;0;0;0;0;1;040207;3;Jabłonowo Pomorskie;13486;135;9005;67;842;974;gmw;53.318872,19.084020 53.459365,19.320011;53.3891185,19.2020155
Wójt Gminy Osiek;040208;4;1;42.75;1;1;0;0;0;2;040208;2;Osiek;7500;75;4023;54;1778;1973;gw;53.106168,19.318541 53.208824,19.485794;53.157496,19.4021675
Burmistrz Izbicy Kujawskiej;041808;3;0;53.67;0;1;0;0;0;2;041808;3;Izbica Kujawska;13210;132;7735;59;882;1153;gmw;52.331783,18.677067 52.465327,18.930049;52.398555,18.803558
Wójt Gminy Kowal;041809;2;1;59.50;0;1;0;0;0;1;041809;2;Kowal;11479;115;3959;34;1130;1990;gw;52.453765,19.051206 52.610817,19.280880;52.532291,19.166043
Burmistrz Lubrańca;041812;2;0;50.50;0;1;0;0;0;1;041812;3;Lubraniec;14803;148;9598;65;694;904;gmw;52.440701,18.726897 52.595631,18.973233;52.518166,18.850065
Burmistrz Lubienia Kujawskiego;041811;2;0;33.50;0;0;0;0;0;2;041811;3;Lubień Kujawski;15091;151;7412;49;668;1214;gmw;52.340789,19.067351 52.479831,19.297972;52.41031,19.1826615
Wójt Gminy Włocławek;041813;2;2;48.00;0;0;0;0;0;2;041813;2;Włocławek;22062;220;7213;33;256;1250;gw;52.538416,18.928200 52.655926,19.426105;52.597171,19.1771525
Burmistrz Łabiszyna;041904;1;0;55.00;0;0;0;0;0;1;041904;3;Łabiszyn;16700;167;10058;60;542;854;gmw;52.884293,17.779195 53.042988,18.015743;52.9636405,17.897469
Wójt Gminy Gąsawa;041902;4;1;50.50;0;0;0;0;0;4;041902;2;Gąsawa;13584;136;5313;39;829;1652;gw;52.696247,17.678127 52.825002,17.918719;52.7606245,17.798423
Burmistrz Barcina;041901;2;0;45.50;0;0;0;0;0;2;041901;3;Barcin;12088;121;14858;123;1044;519;gmw;52.796721,17.823124 52.917909,18.070491;52.857315,17.9468075
Burmistrz Janowca Wielkopolskiego;041903;4;0;49.00;0;1;0;0;0;3;041903;3;Janowiec Wielkopolski;13073;131;9113;70;902;958;gmw;52.672530,17.404394 52.862071,17.621487;52.7673005,17.5129405
Burmistrz Żnina;041906;5;1;47.20;0;1;0;0;0;4;041906;3;Żnin;25147;251;24321;97;178;257;gmw;52.785802,17.512544 52.924664,17.921261;52.855233,17.7169025
Wójt Gminy Rogowo;041905;4;0;45.75;1;1;0;0;0;2;041905;2;Rogowo;17885;179;6871;38;458;1303;gw;52.601664,17.545707 52.807957,17.815452;52.7048105,17.6805795
Wójt Gminy Świekatowo;041410;1;0;62.00;0;0;0;0;0;1;041410;2;Świekatowo;6383;64;3590;56;1916;2087;gw;53.366889,18.034084 53.470018,18.177729;53.4184535,18.1059065
Burmistrz Świecia;041409;4;0;43.50;0;1;1;0;0;2;041409;3;Świecie;17493;175;34111;195;487;157;gmw;53.297525,18.287006 53.495535,18.618388;53.39653,18.452697
Wójt Gminy Warlubie;041411;4;1;50.75;0;0;0;0;0;4;041411;2;Warlubie;20111;201;6534;32;338;1374;gw;53.522986,18.396804 53.704033,18.717595;53.6135095,18.5571995
Wójt Gminy Lubicz;041504;2;1;52.50;0;0;0;0;0;2;041504;2;Lubicz;10575;106;19702;186;1296;349;gw;52.947866,18.677291 53.133217,18.864797;53.0405415,18.771044
Wójt Gminy Chełmża;041502;1;0;60.00;0;0;0;0;0;1;041502;2;Chełmża;17895;180;9820;55;457;882;gw;53.120642,18.471997 53.262953,18.803537;53.1917975,18.637767
Burmistrz Miasta Chełmży;041501;3;1;55.33;0;0;0;0;0;3;041501;1;Chełmża;784;7;14645;1868;2327;529;gm;53.169308,18.580159 53.215464,18.637467;53.192386,18.608813
Wójt Gminy Czernikowo;041503;3;0;49.67;0;0;0;0;0;3;041503;2;Czernikowo;17014;170;9049;53;517;970;gw;52.830455,18.831192 53.005852,19.094329;52.9181535,18.9627605
Wójt Gminy Wielka Nieszawka;041508;4;2;41.25;0;0;0;0;0;4;041508;2;Wielka Nieszawka;21622;216;5094;24;268;1708;gw;52.858144,18.361337 53.039500,18.722577;52.948822,18.541957
Wójt Gminy Łysomice;041506;3;0;51.33;0;0;0;0;0;3;041506;2;Łysomice;12694;127;9882;78;959;875;gw;53.043037,18.474929 53.156142,18.795119;53.0995895,18.635024
Wójt Gminy Łubianka;041505;2;1;56.50;0;0;0;0;0;2;041505;2;Łubianka;8450;84;7008;83;1632;1277;gw;53.080325,18.409394 53.201688,18.561308;53.1410065,18.485351
Wójt Gminy Obrowo;041507;1;0;56.00;0;0;0;0;0;1;041507;2;Obrowo;16217;162;16559;102;579;445;gw;52.893577,18.710069 53.060769,18.961008;52.977173,18.8355385
Wójt Gminy Zławieś Wielka;041509;2;0;54.50;0;0;0;0;0;2;041509;2;Zławieś Wielka;17791;178;13872;78;467;569;gw;53.015514,18.144872 53.183250,18.524452;53.099382,18.334662
Wójt Gminy Gostycyn;041602;1;0;41.00;0;0;0;0;0;1;041602;2;Gostycyn;13580;136;5238;39;830;1671;gw;53.415592,17.719600 53.574175,17.900311;53.4948835,17.8099555
Wójt Gminy Cekcyn;041601;1;0;48.00;0;0;0;0;0;1;041601;2;Cekcyn;25326;252;6783;27;175;1326;gw;53.465518,17.875387 53.671252,18.226677;53.568385,18.051032
Wójt Gminy Lubiewo;041604;2;1;49.00;0;0;0;0;0;2;041604;2;Lubiewo;16280;163;5944;37;572;1504;gw;53.381877,17.879624 53.541107,18.102820;53.461492,17.991222
Wójt Gminy Kęsowo;041603;2;1;36.50;0;0;0;0;0;2;041603;2;Kęsowo;10922;109;4464;41;1240;1864;gw;53.499255,17.602173 53.658107,17.812315;53.578681,17.707244
Wójt Gminy Śliwice;041605;2;0;34.50;0;0;0;0;0;2;041605;2;Śliwice;17472;175;5622;32;489;1569;gw;53.619678,18.025184 53.781075,18.276394;53.7003765,18.150789
Burmistrz Miasta i Gminy Piotrków Kujawski;041105;5;0;48.60;1;1;0;0;0;3;041105;3;Piotrków Kujawski;13867;139;9334;67;798;928;gmw;52.461560,18.375881 52.599680,18.642308;52.53062,18.5090945
Wójt Gminy Topólka;041107;4;0;47.25;1;1;0;1;0;1;041107;2;Topólka;10288;103;4880;47;1343;1762;gw;52.421531,18.592740 52.580234,18.758314;52.5008825,18.675527
Burmistrz Szubina;041005;5;3;47.40;1;0;0;0;0;4;041005;3;Szubin;33226;332;24657;74;64;251;gmw;52.910653,17.563325 53.113949,17.878377;53.012301,17.720851
Burmistrz Miasta i Gminy Mrocza;041002;2;0;50.00;0;0;0;0;0;2;041002;3;Mrocza;15051;150;9296;62;675;933;gmw;53.180533,17.412663 53.294901,17.706855;53.237717,17.559759
Burmistrz Kcyni;041001;4;0;49.75;0;1;0;0;0;3;041001;3;Kcynia;29663;297;13471;45;101;592;gmw;52.894874,17.302322 53.110410,17.613000;53.002642,17.457661
Wójt Gminy Sadki;041004;3;0;49.00;1;0;0;0;0;2;041004;2;Sadki;15375;154;7287;47;642;1231;gw;53.087205,17.320543 53.232214,17.534497;53.1597095,17.42752
Burmistrz Miasta i Gminy Nakło nad Notecią;041003;1;0;55.00;0;0;0;0;0;1;041003;3;Nakło nad Notecią;18693;187;32053;171;410;172;gmw;53.071888,17.506889 53.211986,17.790359;53.141937,17.648624
Wójt Gminy Wąpielsk;041206;3;1;55.67;1;0;0;0;0;2;041206;2;Wąpielsk;9321;93;3988;43;1501;1982;gw;53.074852,19.186134 53.217354,19.368385;53.146103,19.2772595
Wójt Gminy Brzuze;041202;2;0;50.00;0;1;0;0;0;1;041202;2;Brzuze;8640;87;5343;62;1589;1644;gw;52.992395,19.180026 53.116707,19.339266;53.054551,19.259646
Burmistrz Miasta Rypin;041201;1;0;42.00;0;1;0;0;0;0;041201;1;Rypin;1096;10;16482;1504;2311;446;gm;53.042806,19.385979 53.083331,19.455439;53.0630685,19.420709
Wójt Gminy Rypin;041204;2;0;43.50;0;0;0;0;0;2;041204;2;Rypin;13208;132;7503;57;883;1199;gw;52.981822,19.309884 53.116360,19.567455;53.049091,19.4386695
Wójt Gminy Rogowo;041203;3;0;49.33;1;1;0;0;0;1;041203;2;Rogowo;14101;141;4763;34;775;1793;gw;52.927793,19.257112 53.034101,19.575662;52.980947,19.416387
Wójt Gminy Skrwilno;041205;1;0;44.00;0;0;0;0;0;1;041205;2;Skrwilno;12281;123;5950;48;1014;1503;gw;52.955622,19.497741 53.118227,19.690281;53.0369245,19.594011
Wójt Gminy Zbójno;040506;2;2;45.00;0;0;0;0;0;2;040506;2;Zbójno;8432;84;4381;52;1633;1888;gw;52.960748,19.007689 53.059104,19.238995;53.009926,19.123342
Burmistrz Miasta i Gminy Radzyń Chełmiński;040604;3;0;59.00;0;1;0;0;0;2;040604;3;Radzyń Chełmiński;9114;91;4696;52;1523;1808;gmw;53.332036,18.810292 53.430745,19.062373;53.3813905,18.9363325
Wójt Gminy Gruta;040602;2;1;49.00;0;0;0;0;0;2;040602;2;Gruta;12375;124;6523;53;1002;1378;gw;53.388687,18.827457 53.515312,19.071551;53.4519995,18.949504
Burmistrz Miasta i Gminy Łasin;040603;2;0;45.00;1;0;0;0;0;1;040603;3;Łasin;13655;137;8006;59;819;1111;gmw;53.456985,18.975036 53.598096,19.219655;53.5275405,19.0973455
Wójt Gminy Świecie nad Osą;040606;2;0;48.00;0;0;0;0;0;2;040606;2;Świecie nad Osą;9475;95;4276;45;1477;1918;gw;53.378247,19.015849 53.501589,19.236643;53.439918,19.126246
Wójt Gminy Rogóżno;040605;4;0;46.00;0;1;0;0;0;3;040605;2;Rogóźno;11624;116;4246;37;1112;1926;gw;53.497208,18.800591 53.604683,19.061220;53.5509455,18.9309055
Burmistrz Gniewkowa;040703;3;0;45.00;0;1;0;0;0;2;040703;3;Gniewkowo;17972;180;14569;81;450;535;gmw;52.812989,18.287468 52.955807,18.564749;52.884398,18.4261085
Prezydent Miasta Inowrocławia;040701;5;1;55.00;0;1;0;1;0;3;040701;1;Inowrocław;3042;30;73577;2419;2164;52;gm;52.743734,18.207166 52.819656,18.293228;52.781695,18.250197
Wójt Gminy Dąbrowa Biskupia;040702;4;0;54.25;0;0;0;0;0;4;040702;2;Dąbrowa Biskupia;14728;147;5158;35;703;1689;gw;52.709265,18.355942 52.842242,18.625150;52.7757535,18.490546
Burmistrz Gminy i Miasta Janikowo;040705;2;0;55.00;0;0;0;0;0;2;040705;3;Janikowo;9195;92;13270;144;1515;609;gmw;52.672930,17.997630 52.777213,18.205516;52.7250715,18.101573
Wójt Gminy Inowrocław;040704;4;0;61.75;1;1;0;0;0;2;040704;2;Inowrocław;17165;172;11740;68;501;716;gw;52.707408,18.138724 52.883200,18.414808;52.795304,18.276766
Wójt Gminy Zbiczno;040210;3;1;50.00;0;1;0;0;0;2;040210;2;Zbiczno;13377;134;4849;36;864;1770;gw;53.287127,19.247783 53.412641,19.526587;53.349884,19.387185
Burmistrz Koronowa;040304;3;0;49.00;0;0;0;0;0;3;040304;3;Koronowo;41153;412;24222;59;21;259;gmw;53.202257,17.687345 53.443253,18.083789;53.322755,17.885567
Wójt Gminy Dąbrowa Chełmińska;040302;2;1;38.00;0;0;0;0;0;2;040302;2;Dąbrowa Chełmińska;12504;125;8285;66;979;1067;gw;53.103558,18.135238 53.245824,18.353532;53.174691,18.244385
Wójt Gminy Białe Błota;040301;3;1;50.00;0;0;0;0;0;3;040301;2;Białe Błota;12242;123;21268;174;1018;316;gw;53.030275,17.777825 53.142852,18.027874;53.0865635,17.9028495
Wójt Gminy Dobrcz;040303;6;1;47.67;0;0;0;0;0;6;040303;2;Dobrcz;13007;130;11515;89;910;736;gw;53.194369,18.046818 53.346155,18.279668;53.270262,18.163243
Wójt Gminy Osielsko;040306;2;0;49.00;0;0;0;0;0;2;040306;2;Osielsko;10172;102;13762;135;1361;576;gw;53.162250,17.930773 53.270666,18.179851;53.216458,18.055312
Wójt Gminy Nowa Wieś Wielka;040305;5;1;59.80;0;0;0;0;0;5;040305;2;Nowa Wieś Wielka;14828;148;10030;68;692;859;gw;52.940198,17.959354 53.090695,18.257487;53.0154465,18.1084205
Wójt Gminy Sicienko;040307;2;0;55.50;0;0;0;0;0;2;040307;2;Sicienko;17999;180;10054;56;448;856;gw;53.139705,17.668997 53.295682,17.958395;53.2176935,17.813696
Burmistrz Miasta i Gminy Solec Kujawski;040308;2;2;59.00;0;0;0;0;0;2;040308;3;Solec Kujawski;17507;175;16845;96;484;437;gmw;52.970382,18.099222 53.098767,18.407412;53.0345745,18.253317
Burmistrz Miasta Golubia-Dobrzynia;040501;5;1;45.20;0;0;0;0;0;5;040501;1;Golub-Dobrzyń;750;8;12828;1710;2329;640;gm;53.094060,19.030500 53.130403,19.077774;53.1122315,19.054137
Wójt Gminy Raciążek;040107;4;1;55.00;1;0;0;0;0;3;040107;2;Raciążek;3288;33;3135;95;2147;2166;gw;52.818268,18.754104 52.883336,18.886011;52.850802,18.8200575
Wójt Gminy Golub-Dobrzyń;040503;2;0;50.00;0;0;0;0;0;2;040503;2;Golub-Dobrzyń;19779;198;8692;44;355;1013;gw;53.031784,18.948783 53.237677,19.253913;53.1347305,19.101348
Burmistrz Miasta Nieszawa;040103;3;0;32.33;0;0;0;0;0;3;040103;1;Nieszawa;979;10;1914;196;2321;2277;gm;52.819011,18.863682 52.860238,18.909186;52.8396245,18.886434
Wójt Gminy Ciechocin;040502;2;0;59.00;0;0;0;0;0;2;040502;2;Ciechocin;10123;101;4034;40;1368;1972;gw;52.973795,18.811225 53.115902,19.031062;53.0448485,18.9211435
Burmistrz Miasta Aleksandrów Kujawski;040101;3;0;53.00;0;0;0;0;0;3;040101;1;Aleksandrów Kujawski;723;7;12270;1697;2330;672;gm;52.854916,18.677276 52.897988,18.723605;52.876452,18.7004405
Wójt Gminy Radomin;040505;1;0;50.00;0;0;0;0;0;1;040505;2;Radomin;8081;81;3867;48;1691;2018;gw;53.036655,19.090892 53.152777,19.256858;53.094716,19.173875
Burmistrz Miasta Kowalewo Pomorskie;040504;4;2;52.25;0;0;0;0;0;4;040504;3;Kowalewo Pomorskie;14120;141;11487;81;770;739;gmw;53.080866,18.727404 53.210733,19.014037;53.1457995,18.8707205
Burmistrz Tucholi;041606;4;0;51.50;0;1;0;0;0;3;041606;3;Tuchola;23966;240;20387;85;205;332;gmw;53.546413,17.733516 53.759628,18.055963;53.6530205,17.8947395
Burmistrz Wąbrzeźna;041701;2;0;48.50;0;0;0;0;0;2;041701;1;Wąbrzeźno;853;9;13749;1612;2325;577;gm;53.260374,18.916357 53.296337,18.988430;53.2783555,18.9523935
Wójt Gminy Ryńsk;041705;1;0;52.00;0;0;0;0;0;1;041705;2;Ryńsk;20073;201;8648;43;340;1019;gw;53.183307,18.761592 53.348188,19.064252;53.2657475,18.912922
Wójt Gminy Książki;041703;2;0;50.00;0;1;0;0;0;1;041703;2;Książki;8619;86;4194;49;1592;1934;gw;53.265985,18.970314 53.392698,19.158239;53.3293415,19.0642765
Wójt Gminy Dębowa Łąka;041702;2;0;59.50;0;0;0;0;0;2;041702;2;Dębowa Łąka;8612;86;3183;37;1595;2159;gw;53.172055,18.982728 53.287777,19.143398;53.229916,19.063063
Wójt Gminy Płużnica;041704;1;0;39.00;0;0;0;0;0;1;041704;2;Płużnica;12038;120;4838;40;1049;1774;gw;53.245345,18.694741 53.387504,18.894141;53.3164245,18.794441
Prezydent Miasta Bydgoszczy;046101;5;1;49.40;0;1;1;1;0;2;046101;1;Bydgoszcz (a);17598;176;352313;2002;478;8;mm;53.050110,17.874235 53.209344,18.202103;53.129727,18.038169
Prezydent Miasta Grudziądza;046201;5;1;47.20;0;1;0;0;0;4;046201;1;Grudziądz;5776;58;95629;1656;1960;40;mm;53.420766,18.686274 53.524083,18.870909;53.4724245,18.7785915
Wójt Gminy Boniewo;041803;2;0;46.50;1;0;0;0;0;1;041803;2;Boniewo;7762;78;3392;44;1739;2121;gw;52.396751,18.802861 52.520099,18.961070;52.458425,18.8819655
Prezydent Miasta Torunia;046301;6;2;46.33;0;1;1;0;0;4;046301;1;Toruń;11572;116;202562;1750;1122;16;mm;52.963074,18.460667 53.065898,18.742230;53.014486,18.6014485
Burmistrz Miasta Kowal;041801;2;0;67.00;0;0;0;0;1;1;041801;1;Kowal;468;5;3544;757;2336;2092;gm;52.516878,19.128072 52.547914,19.162058;52.532396,19.145065
Prezydent Miasta Włocławek;046401;9;0;52.11;0;1;1;1;0;6;046401;1;Włocławek;8432;84;111752;1325;1633;34;mm;52.594790,18.939054 52.735971,19.182608;52.6653805,19.060831
Wójt Gminy Baruchowo;041802;1;0;61.00;0;0;0;0;0;1;041802;2;Baruchowo;10674;107;3482;33;1277;2104;gw;52.438463,19.199404 52.574963,19.395674;52.506713,19.297539
Burmistrz Miasta Chełmna;040401;3;0;46.67;0;1;0;0;0;2;040401;1;Chełmno;1356;14;19911;1468;2290;343;gm;53.330062,18.377962 53.374740,18.472961;53.352401,18.4254615
Wójt Gminy Choceń;041805;2;0;53.00;0;0;0;0;0;2;041805;2;Choceń;9985;100;8022;80;1395;1109;gw;52.441144,18.945992 52.553785,19.112086;52.4974645,19.029039
Wójt Gminy Papowo Biskupie;040405;2;0;58.00;0;1;0;0;0;1;040405;2;Papowo Biskupie;7045;70;4376;62;1844;1889;gw;53.216390,18.471400 53.297052,18.676094;53.256721,18.573747
Burmistrz Brześcia Kujawskiego;041804;3;0;46.33;0;0;0;0;0;3;041804;3;Brześć Kujawski;15095;151;11541;76;667;734;gmw;52.549528,18.752039 52.706602,19.036108;52.628065,18.8940735
Wójt Gminy Kijewo Królewskie;040403;1;0;63.00;0;0;0;0;0;1;040403;2;Kijewo Królewskie;7184;72;4504;63;1822;1855;gw;53.193351,18.362927 53.334108,18.517497;53.2637295,18.440212
Burmistrz Chodcza;041806;1;0;42.00;0;0;0;0;0;1;041806;3;Chodecz;12209;122;6093;50;1027;1468;gmw;52.330636,18.913917 52.457041,19.135566;52.3938385,19.0247415
Wójt Gminy Lisewo;040404;2;0;35.50;0;0;0;0;0;2;040404;2;Lisewo;8631;86;5282;61;1591;1657;gw;53.241165,18.556950 53.350935,18.740757;53.29605,18.6488535
Wójt Gminy Unisław;040407;1;0;39.00;0;0;0;0;0;1;040407;2;Unisław;7255;73;7003;97;1811;1279;gw;53.169775,18.267172 53.283091,18.468025;53.226433,18.3675985
Wójt Gminy Stolno;040406;1;0;63.00;0;0;0;0;0;1;040406;2;Stolno;9852;99;5239;53;1417;1670;gw;53.281347,18.450439 53.397862,18.728137;53.3396045,18.589288
Wójt Gminy Sośno;041303;4;1;43.00;1;1;0;0;0;2;041303;2;Sośno;16264;163;5059;31;573;1713;gw;53.274505,17.548757 53.449770,17.770041;53.3621375,17.659399
Burmistrz Kamienia Krajeńskiego;041301;3;0;51.33;0;1;0;1;0;1;041301;3;Kamień Krajeński;16331;163;6983;43;564;1281;gmw;53.477106,17.401394 53.617751,17.656698;53.5474285,17.529046
Burmistrz Sępólna Krajeńskiego;041302;4;0;43.25;0;1;0;0;0;3;041302;3;Sępólno Krajeńskie;22912;229;15936;70;231;474;gmw;53.374367,17.298464 53.524313,17.727540;53.44934,17.513002
